"","region_id","zone","area","status","year"
"156",1,"Rest of lagoon",35.89160134,0.75,2016
"157",1,"Aie",0.009775186488655,1,2016
"158",1,"Aie",0.023277683208063,1,2016
"159",1,"Ahuroa",0.046627710105536,1,2016
"160",1,"Hiraanae",0.353004842003619,1,2016
"161",1,"Horoatera",0.870078933438646,1,2017
"162",1,"Hiraanae",0.001100493961161,1,2017
"163",1,"Honuea",0.29743536186033,1,2017
"164",1,"Onetahi",0.751000573862474,1,2017
"165",1,"Reiono",0.232100155542133,1,2017
"166",1,"Rimatuu",0.903521034107308,1,2017
"167",1,"Tahuna Rahi",0.076107024461502,1,2017
"168",1,"Tahuna Iti",0.009172773697991,1,2017
"169",1,"Tauvine",0.079748509665234,1,2017
"170",1,"Tiaraunu",1.70884833766718,1,2017
"171",1,"Offshore",181.891318821236,0,2017
"172",1,"No take zone",35.89160134,0.5,2017
"173",1,"Rest of lagoon",35.89160134,0.75,2017
"174",1,"Aie",0.009775186488655,1,2017
"175",1,"Aie",0.023277683208063,1,2017
"176",1,"Ahuroa",0.046627710105536,1,2017
"177",1,"Hiraanae",0.353004842003619,1,2018
"178",1,"Horoatera",0.870078933438646,1,2018
"179",1,"Hiraanae",0.001100493961161,1,2018
"180",1,"Honuea",0.29743536186033,1,2018
"181",1,"Onetahi",0.751000573862474,1,2018
"182",1,"Reiono",0.232100155542133,1,2018
"183",1,"Rimatuu",0.903521034107308,1,2018
"184",1,"Tahuna Rahi",0.076107024461502,1,2018
"185",1,"Tahuna Iti",0.009172773697991,1,2018
"186",1,"Tauvine",0.079748509665234,1,2018
"187",1,"Tiaraunu",1.70884833766718,1,2018
"188",1,"Offshore",181.891318821236,0,2018
"189",1,"No take zone",35.89160134,0.5,2018
"190",1,"Rest of lagoon",35.89160134,0.75,2018
"191",1,"Aie",0.009775186488655,1,2018
"192",1,"Aie",0.023277683208063,1,2018
"193",1,"Ahuroa",0.046627710105536,1,2019
"194",1,"Hiraanae",0.353004842003619,1,2019
"195",1,"Horoatera",0.870078933438646,1,2019
"196",1,"Hiraanae",0.001100493961161,1,2019
"197",1,"Honuea",0.29743536186033,1,2019
"198",1,"Onetahi",0.751000573862474,1,2019
"199",1,"Reiono",0.232100155542133,1,2019
"200",1,"Rimatuu",0.903521034107308,1,2019
"201",1,"Tahuna Rahi",0.076107024461502,1,2019
"202",1,"Tahuna Iti",0.009172773697991,1,2019
"203",1,"Tauvine",0.079748509665234,1,2019
"204",1,"Tiaraunu",1.70884833766718,1,2019
"205",1,"Offshore",181.891318821236,0,2019
"206",1,"No take zone",35.89160134,0.5,2019
"207",1,"Rest of lagoon",35.89160134,0.75,2019
"208",1,"Aie",0.009775186488655,1,2019
"209",1,"Aie",0.023277683208063,1,2020
"210",1,"Ahuroa",0.046627710105536,1,2020
"211",1,"Hiraanae",0.353004842003619,1,2020
"212",1,"Horoatera",0.870078933438646,1,2020
"213",1,"Hiraanae",0.001100493961161,1,2020
"214",1,"Honuea",0.29743536186033,1,2020
"215",1,"Onetahi",0.751000573862474,1,2020
"216",1,"Reiono",0.232100155542133,1,2020
"217",1,"Rimatuu",0.903521034107308,1,2020
"218",1,"Tahuna Rahi",0.076107024461502,1,2020
"219",1,"Tahuna Iti",0.009172773697991,1,2020
"220",1,"Tauvine",0.079748509665234,1,2020
"221",1,"Tiaraunu",1.70884833766718,1,2020
"222",1,"Offshore",181.891318821236,0,2020
"223",1,"No take zone",35.89160134,0.5,2020
"224",1,"Rest of lagoon",35.89160134,0.75,2020
"225",1,"Aie",0.009775186488655,1,2014
"226",1,"Aie",0.023277683208063,1,2014
"227",1,"Ahuroa",0.046627710105536,1,2014
"228",1,"Hiraanae",0.353004842003619,1,2014
"229",1,"Horoatera",0.870078933438646,1,2014
"230",1,"Hiraanae",0.001100493961161,1,2014
"231",1,"Honuea",0.29743536186033,1,2014
"232",1,"Onetahi",0.751000573862474,1,2014
"233",1,"Reiono",0.232100155542133,1,2014
"234",1,"Rimatuu",0.903521034107308,1,2014
"235",1,"Tahuna Rahi",0.076107024461502,1,2014
"236",1,"Tahuna Iti",0.009172773697991,1,2014
"237",1,"Tauvine",0.079748509665234,1,2014
"238",1,"Tiaraunu",1.70884833766718,1,2014
"239",1,"Offshore",181.891318821236,0,2014
"240",1,"No take zone",35.89160134,0.5,2014
"241",1,"Rest of lagoon",35.89160134,0.75,2015
"242",1,"Aie",0.009775186488655,1,2015
"243",1,"Aie",0.023277683208063,1,2015
"244",1,"Ahuroa",0.046627710105536,1,2015
"245",1,"Hiraanae",0.353004842003619,1,2015
"246",1,"Horoatera",0.870078933438646,1,2015
"247",1,"Hiraanae",0.001100493961161,1,2015
"248",1,"Honuea",0.29743536186033,1,2015
"249",1,"Onetahi",0.751000573862474,1,2015
"250",1,"Reiono",0.232100155542133,1,2015
"251",1,"Rimatuu",0.903521034107308,1,2015
"252",1,"Tahuna Rahi",0.076107024461502,1,2015
"253",1,"Tahuna Iti",0.009172773697991,1,2015
"254",1,"Tauvine",0.079748509665234,1,2015
"255",1,"Tiaraunu",1.70884833766718,1,2015
"256",1,"Offshore",181.891318821236,0,2015
"257",1,"No take zone",35.89160134,0.5,2016
"258",1,"Rest of lagoon",35.89160134,0.75,2016
"259",1,"Aie",0.009775186488655,1,2016
"260",1,"Aie",0.023277683208063,1,2016
"261",1,"Ahuroa",0.046627710105536,1,2016
"262",1,"Hiraanae",0.353004842003619,1,2016
"263",1,"Horoatera",0.870078933438646,1,2016
"264",1,"Hiraanae",0.001100493961161,1,2016
"265",1,"Honuea",0.29743536186033,1,2016
"266",1,"Onetahi",0.751000573862474,1,2016
"267",1,"Reiono",0.232100155542133,1,2016
"268",1,"Rimatuu",0.903521034107308,1,2016
"269",1,"Tahuna Rahi",0.076107024461502,1,2016
"270",1,"Tahuna Iti",0.009172773697991,1,2016
"271",1,"Tauvine",0.079748509665234,1,2016
"272",1,"Tiaraunu",1.70884833766718,1,2016
"273",1,"Offshore",181.891318821236,0,2017
"274",1,"No take zone",35.89160134,0.5,2017
"275",1,"Rest of lagoon",35.89160134,0.75,2017
"276",1,"Aie",0.009775186488655,1,2017
"277",1,"Aie",0.023277683208063,1,2017
"278",1,"Ahuroa",0.046627710105536,1,2017
"279",1,"Hiraanae",0.353004842003619,1,2017
"280",1,"Horoatera",0.870078933438646,1,2017
"281",1,"Hiraanae",0.001100493961161,1,2017
"282",1,"Honuea",0.29743536186033,1,2017
"283",1,"Onetahi",0.751000573862474,1,2017
"284",1,"Reiono",0.232100155542133,1,2017
"285",1,"Rimatuu",0.903521034107308,1,2017
"286",1,"Tahuna Rahi",0.076107024461502,1,2017
"287",1,"Tahuna Iti",0.009172773697991,1,2017
"288",1,"Tauvine",0.079748509665234,1,2017
"289",1,"Tiaraunu",1.70884833766718,1,2018
"290",1,"Offshore",181.891318821236,0,2018
"291",1,"No take zone",35.89160134,0.5,2018
"292",1,"Rest of lagoon",35.89160134,0.75,2018
"293",1,"Aie",0.009775186488655,1,2018
"294",1,"Aie",0.023277683208063,1,2018
"295",1,"Ahuroa",0.046627710105536,1,2018
"296",1,"Hiraanae",0.353004842003619,1,2018
"297",1,"Horoatera",0.870078933438646,1,2018
"298",1,"Hiraanae",0.001100493961161,1,2018
"299",1,"Honuea",0.29743536186033,1,2018
"300",1,"Onetahi",0.751000573862474,1,2018
"301",1,"Reiono",0.232100155542133,1,2018
"302",1,"Rimatuu",0.903521034107308,1,2018
"303",1,"Tahuna Rahi",0.076107024461502,1,2018
"304",1,"Tahuna Iti",0.009172773697991,1,2018
"305",1,"Tauvine",0.079748509665234,1,2019
"306",1,"Tiaraunu",1.70884833766718,1,2019
"307",1,"Offshore",181.891318821236,0,2019
"308",1,"No take zone",35.89160134,0.5,2019
"309",1,"Rest of lagoon",35.89160134,0.75,2019
"310",1,"Aie",0.009775186488655,1,2019
"311",1,"Aie",0.023277683208063,1,2019
"312",1,"Ahuroa",0.046627710105536,1,2019
"313",1,"Hiraanae",0.353004842003619,1,2019
"314",1,"Horoatera",0.870078933438646,1,2019
"315",1,"Hiraanae",0.001100493961161,1,2019
"316",1,"Honuea",0.29743536186033,1,2019
"317",1,"Onetahi",0.751000573862474,1,2019
"318",1,"Reiono",0.232100155542133,1,2019
"319",1,"Rimatuu",0.903521034107308,1,2019
"320",1,"Tahuna Rahi",0.076107024461502,1,2019
"321",1,"Tahuna Iti",0.009172773697991,1,2020
"322",1,"Tauvine",0.079748509665234,1,2020
"323",1,"Tiaraunu",1.70884833766718,1,2020
"324",1,"Offshore",181.891318821236,0,2020
"325",1,"No take zone",35.89160134,0.5,2020
"326",1,"Rest of lagoon",35.89160134,0.75,2020
"327",1,"Aie",0.009775186488655,1,2020
"328",1,"Aie",0.023277683208063,1,2020
"329",1,"Ahuroa",0.046627710105536,1,2020
"330",1,"Hiraanae",0.353004842003619,1,2020
"331",1,"Horoatera",0.870078933438646,1,2020
"332",1,"Hiraanae",0.001100493961161,1,2020
"333",1,"Honuea",0.29743536186033,1,2020
"334",1,"Onetahi",0.751000573862474,1,2020
"335",1,"Reiono",0.232100155542133,1,2020
"336",1,"Rimatuu",0.903521034107308,1,2020
"337",1,"Tahuna Rahi",0.076107024461502,1,2014
"338",1,"Tahuna Iti",0.009172773697991,1,2014
"339",1,"Tauvine",0.079748509665234,1,2014
"340",1,"Tiaraunu",1.70884833766718,1,2014
"341",1,"Offshore",181.891318821236,0,2014
"342",1,"No take zone",35.89160134,0.5,2014
"343",1,"Rest of lagoon",35.89160134,0.75,2014
"344",1,"Aie",0.009775186488655,1,2014
"345",1,"Aie",0.023277683208063,1,2014
"346",1,"Ahuroa",0.046627710105536,1,2014
"347",1,"Hiraanae",0.353004842003619,1,2014
"348",1,"Horoatera",0.870078933438646,1,2014
"349",1,"Hiraanae",0.001100493961161,1,2014
"350",1,"Honuea",0.29743536186033,1,2014
"351",1,"Onetahi",0.751000573862474,1,2014
"352",1,"Reiono",0.232100155542133,1,2014
"353",1,"Rimatuu",0.903521034107308,1,2015
