iucn_sid,sciname,population,category,common
133332,Alveopora allingi,NA,VU,NA
133273,Acropora inermis,NA,DD,NA
133383,Barabattoia laddi,NA,VU,NA
133094,Psammocora nierstraszi,NA,LC,NA
133698,Acropora nana,NA,NT,NA
132998,Acropora samoensis,NA,LC,NA
133410,Pachyseris speciosa,NA,LC,NA
133593,Favia stelligera,NA,NT,NA
133685,Stylophora pistillata,NA,NT,Smooth Cauliflower Coral
133338,Acropora speciosa,NA,VU,NA
133258,Plerogyra sinuosa,NA,NT,NA
132883,Goniastrea australensis,NA,LC,NA
133550,Acropora glauca,NA,NT,NA
133649,Acropora abrotanoides,NA,LC,NA
133029,Favia rotumana,NA,LC,NA
133016,Porites vaughani,NA,LC,NA
133398,Pavona varians,NA,LC,NA
133406,Psammocora haimeana,NA,LC,NA
133172,Echinophyllia aspera,NA,LC,NA
132866,Montipora angulata,NA,VU,NA
133160,Acropora austera,NA,NT,NA
132911,Pavona maldivensis,NA,LC,NA
133635,Montipora venosa,NA,NT,NA
132992,Acropora humilis,NA,NT,Finger Coral
133697,Turbinaria reniformis,NA,VU,NA
133088,Echinopora lamellosa,NA,LC,NA
133569,Favia favus,NA,LC,Head Coral
133186,Montipora floweri,NA,LC,NA
133252,Acropora tortuosa,NA,LC,NA
133502,Psammocora superficialis,NA,LC,NA
133303,Acropora lutkeni,NA,NT,NA
133556,Montipora spumosa,NA,LC,NA
133291,Acropora striata,NA,VU,NA
133120,Acropora latistella,NA,LC,NA
133337,Merulina ampliata,NA,LC,NA
133117,Montipora lobulata,NA,VU,NA
133548,Stylocoeniella armata,NA,LC,NA
133380,Madracis kirbyi,NA,LC,NA
132979,Favites complanata,NA,NT,NA
133298,Montipora turgescens,NA,LC,NA
133239,Acropora nasuta,NA,NT,NA
133343,Favites russelli,NA,NT,NA
133010,Acropora elseyi,NA,LC,NA
133324,Acropora gemmifera,NA,LC,NA
133451,Montipora danae,NA,LC,NA
133201,Fungia scutaria,NA,LC,NA
133082,Porites lutea,NA,LC,NA
133031,Montipora effusa,NA,NT,NA
133440,Platygyra pini,NA,LC,NA
133215,Fungia tenuis,NA,LC,NA
133314,Montipora aequituberculata,NA,LC,NA
133485,Astreopora randalli,NA,LC,NA
133559,Mycedium elephantotus,NA,LC,NA
133293,Acropora valida,NA,LC,NA
133325,Cyphastrea chalcidicum,NA,LC,NA
133546,Porites latistella,NA,LC,NA
133084,Barabattoia amicorum,NA,LC,NA
133187,Porites arnaudi,NA,LC,NA
132923,Pocillopora woodjonesi,NA,LC,NA
133220,Montipora caliculata,NA,VU,NA
133299,Fungia sinensis,NA,LC,NA
133479,Acropora hyacinthus,NA,NT,Brush Coral
133025,Acropora vaughani,NA,VU,NA
133673,Fungia paumotensis,NA,LC,Elongate Mushroom Coral
133271,Acropora sarmentosa,NA,LC,NA
133407,Pocillopora eydouxi,NA,NT,NA
133240,Pavona clavus,NA,LC,NA
133216,Porites lobata,NA,NT,NA
133058,Echinophyllia echinata,NA,LC,NA
133616,Favia matthaii,NA,NT,NA
133390,Seriatopora hystrix,NA,LC,Thin Birdsnest Coral
132948,Acropora granulosa,NA,NT,NA
132986,Fungia repanda,NA,LC,NA
133644,Acropora formosa,NA,NT,Staghorn Coral
132903,Leptoseris solida,NA,LC,NA
133648,Cyphastrea microphthalma,NA,LC,NA
133148,Ctenactis echinata,NA,LC,NA
133423,Fungia horrida,NA,LC,NA
133595,Millepora platyphylla,NA,LC,Firecoral
133419,Lobophyllia hemprichii,NA,LC,Largebrain Root Coral
133503,Fungia fungites,NA,NT,Common Mushroom Coral
133023,Porites lichen,NA,LC,NA
133702,Pavona duerdeni,NA,LC,NA
133319,Acropora horrida,NA,VU,NA
133646,Montipora verrucosa,NA,LC,NA
133210,Favia speciosa,NA,LC,NA
133157,Scolymia vitiensis,NA,NT,NA
133105,Porites murrayensis,NA,NT,NA
133266,Acropora nobilis,NA,LC,NA
133615,Goniopora stutchburyi,NA,LC,NA
133613,Porites solida,NA,LC,NA
132972,Acropora paniculata,NA,VU,NA
133539,Leptoseris incrustans,NA,VU,NA
132988,Acropora longicyathus,NA,LC,NA
133110,Ctenactis crassa,NA,LC,NA
133308,Fungia scruposa,NA,LC,NA
133438,Montipora foveolata,NA,NT,NA
133176,Coscinaraea exesa,NA,LC,NA
133538,Herpolitha limax,NA,LC,NA
133021,Acropora microphthalma,NA,LC,NA
133015,Montipora millepora,NA,LC,NA
133458,Hydnophora microconos,NA,NT,NA
133222,Pocillopora damicornis,NA,LC,Cauliflower Coral
133468,Platygyra daedalea,NA,LC,Brain Coral
133633,Turbinaria mesenterina,NA,VU,NA
133418,Fungia concinna,NA,LC,NA
132987,Echinopora gemmacea,NA,LC,NA
132983,Leptastrea bottae,NA,NT,NA
133452,Goniastrea aspera,NA,LC,NA
133068,Platygyra sinensis,NA,LC,NA
133482,Alveopora spongiosa,NA,NT,NA
133587,Sandalolitha dentata,NA,LC,NA
133371,Fungia distorta,NA,LC,Distorted Mushroom Coral
133428,Coscinaraea columna,NA,LC,NA
133345,Montipora tuberculosa,NA,LC,NA
133700,Montipora hoffmeisteri,NA,LC,NA
133248,Acropora robusta,NA,LC,NA
133238,Montipora hispida,NA,LC,NA
133414,Goniastrea pectinata,NA,LC,NA
133244,Favites flexuosa,NA,NT,NA
133090,Leptastrea purpurea,NA,LC,NA
133183,Fungia granulosa,NA,LC,NA
132917,Gardineroseris planulata,NA,LC,NA
133387,Acropora globiceps,NA,VU,NA
133570,Psammocora profundacella,NA,LC,NA
133175,Montipora efflorescens,NA,NT,NA
133099,Pocillopora elegans,NA,VU,NA
132888,Acropora secale,NA,NT,NA
133290,Favites abdita,NA,NT,NA
132933,Acropora carduus,NA,NT,NA
133382,Pavona explanulata,NA,LC,NA
133208,Psammocora contigua,NA,NT,NA
133179,Fungia scabra,NA,LC,NA
133277,Porites australiensis,NA,LC,NA
133156,Alveopora verrilliana,NA,VU,NA
133167,Cyphastrea serailia,NA,LC,NA
132976,Acropora loripes,NA,NT,NA
133043,Psammocora digitata,NA,NT,NA
133071,Montipora foliosa,NA,NT,NA
133041,Pavona decussata,NA,VU,Cactus Coral
133250,Acropora digitifera,NA,NT,NA
133589,Psammocora explanulata,NA,LC,NA
133662,Galaxea fascicularis,NA,NT,NA
132885,Leptoseris hawaiiensis,NA,LC,NA
133551,Lobophyllia corymbosa,NA,LC,Brain Root Coral
133197,Pocillopora verrucosa,NA,LC,Rasp Coral
133033,Acropora pulchra,NA,LC,NA
133607,Goniopora minor,NA,NT,NA
133246,Acanthastrea echinata,NA,LC,NA
133284,Plesiastrea versipora,NA,LC,NA
133360,Pavona bipartita,NA,VU,NA
132864,Fungia costulata,NA,LC,NA
132958,Pocillopora capitata,NA,LC,NA
132922,Montastrea curta,NA,LC,NA
133315,Acropora monticulosa,NA,NT,NA
133049,Stylocoeniella guentheri,NA,LC,NA
133045,Pocillopora ligulata,NA,LC,NA
188467,Abudefduf sordidus,NA,LC,Yellow-banded Sergeant-major
154760,Chromis alpha,NA,LC,Yellow-speckled Chromis
188609,Abudefduf vaigiensis,NA,LC,Five-banded Sergeant-major
188453,Abudefduf septemfasciatus,NA,LC,Seven-banded Sergeant-major
188557,Abudefduf sexfasciatus,NA,LC,Scissortail Sergeant
61339,Epinephelus polyphekadion,NA,VU,Camouflage Grouper
132737,Cephalopholis leopardus,NA,LC,Leopard Hind
64412,Plectropomus laevis,NA,LC,Blacksaddled Coral Grouper
132758,Epinephelus tauvina,NA,DD,Greasy Grouper
132772,Hyporthodus octofasciatus,NA,LC,Eightbar Grouper
132791,Cephalopholis igarashiensis,NA,LC,Garish Hind
132781,Cephalopholis argus,NA,LC,Peacock Grouper
132805,Cephalopholis polleni,NA,LC,Harlequin Hind
132825,Cephalopholis spiloparaea,NA,LC,Strawberry Hind
132778,Epinephelus hexagonatus,NA,LC,White Speckled Rockcod
132788,Epinephelus merra,NA,LC,Honeycomb Grouper
132725,Cephalopholis aurantia,NA,LC,Golden Hind
132800,Gracila albomarginata,NA,LC,Masked Grouper
132783,Cephalopholis urodeta,NA,LC,Darkfin Hind
132745,Epinephelus morrhua,NA,LC,Comet Grouper
132746,Epinephelus melanostigma,NA,LC,One-blotch Grouper
7858,Epinephelus lanceolatus,NA,DD,Giant Grouper
132816,Saloptia powelli,NA,LC,Golden Grouper
132817,Epinephelus fasciatus,NA,LC,Blacktip Grouper
132731,Epinephelus socialis,NA,LC,Surge Grouper
132738,Variola louti,NA,LC,Yellow-edged Lyretail
132741,Cephalopholis sexmaculata,NA,LC,Six-blotch Hind
64407,Epinephelus tuamotuensis,NA,LC,Reticulate Grouper
185024,Enoplometopus holthuisi,NA,DD,Bullseye Reef Lobster
170066,Panulirus longipes,NA,LC,Longlegged Spiny Lobster
185005,Enoplometopus gracilipes,NA,DD,NA
170063,Arctides regalis,NA,LC,Royal Spanish Lobster
185061,Pentacheles snyderi,NA,LC,NA
170071,Parribacus antarcticus,NA,LC,Sculptured Mitten Lobster
170031,Panulirus femoristriga,NA,LC,White-whiskered Coral Crayfish
185064,Stereomastis auriculata,NA,LC,NA
185076,Galearctus aurora,NA,LC,NA
185036,Stereomastis suhmi,NA,LC,NA
16564,Peponocephala electra,NA,LC,Melon-headed Whale
20738,Steno bredanensis,NA,LC,Rough-toothed Dolphin
11047,Kogia breviceps,NA,DD,Pygmy Sperm Whale
20731,Stenella coeruleoalba,NA,LC,Striped Dolphin
2480,Balaenoptera bonaerensis,NA,NT,Antarctic Minke Whale
13246,Mesoplodon ginkgodens,NA,DD,Ginkgo-toothed Beaked Whale
23211,Ziphius cavirostris,NA,LC,Cuvier's Beaked Whale
15421,Orcinus orca,NA,DD,Killer Whale
41755,Physeter macrocephalus,NA,VU,Sperm Whale
22563,Tursiops truncatus,NA,LC,Common Bottlenose Dolphin
2476,Balaenoptera edeni,NA,LC,Bryde's Whale
11048,Kogia sima,NA,DD,Dwarf Sperm Whale
13244,Mesoplodon densirostris,NA,DD,Blainville's Beaked Whale
20733,Stenella longirostris,NA,LC,Spinner Dolphin
9249,Globicephala macrorhynchus,NA,LC,Short-finned Pilot Whale
13006,Megaptera novaeangliae,NA,LC,Humpback Whale
2475,Balaenoptera borealis,NA,EN,Sei Whale
9461,Grampus griseus,NA,LC,Risso's Dolphin
2477,Balaenoptera musculus,NA,EN,Blue Whale
11140,Lagenodelphis hosei,NA,LC,Fraser's Dolphin
2474,Balaenoptera acutorostrata,NA,LC,Common Minke Whale
18596,Pseudorca crassidens,NA,NT,False Killer Whale
8551,Feresa attenuata,NA,LC,Pygmy Killer Whale
20729,Stenella attenuata,NA,LC,Pantropical Spotted Dolphin
190193,Sphoeroides pachygaster,NA,LC,Blunthead Puffer
193705,Canthigaster rivulata,NA,LC,Brown-lined Puffer
193766,Canthigaster janthinoptera,NA,LC,Honeycomb Toby
193675,Canthigaster amboinensis,NA,LC,Spider-eye Puffer
193775,Canthigaster solandri,NA,LC,Spotted Sharpnose
190464,Lagocephalus lagocephalus,NA,LC,Oceanic Puffer
166947,Lagocephalus sceleratus,NA,LC,Silver-cheeked Toadfish
193796,Canthigaster valentini,NA,LC,Valentini's Sharpnose Puffer
193656,Canthigaster bennetti,NA,LC,Bennett's Sharpnose Puffer
193699,Arothron hispidus,NA,LC,White-spotted Puffer
193712,Arothron stellatus,NA,LC,Stellate Puffer
193662,Arothron meleagris,NA,LC,Guineafowl Puffer
8005,Eretmochelys imbricata,NA,CR,Hawksbill Turtle
84156809,Caretta caretta,South Pacific subpopulation,CR,Loggerhead Turtle
176738,Hydrophis platurus,NA,LC,Yellow-bellied Sea Snake
4615,Chelonia mydas,NA,EN,Green Turtle
180375,Holothuria leucospilota,NA,LC,White Thread Fish
180477,Stichopus chloronotus,NA,LC,Greenfish
200715,Holothuria fuscogilva,NA,VU,NA
180235,Holothuria hilla,NA,LC,NA
180367,Stichopus monotuberculatus,NA,DD,NA
180525,Holothuria pervicax,NA,LC,NA
180246,Holothuria difficilis,NA,LC,NA
180488,Stichopus horrens,NA,DD,Selenka's Sea Cucumber
180483,Holothuria flavomaculata,NA,LC,NA
180337,Actinopyga mauritiana,NA,VU,Surf Redfish
19720058,Mesothuria multipora,NA,DD,NA
180324,Thelenota anax,NA,DD,Amberfish
180499,Holothuria turriscelsa,NA,LC,NA
180286,Holothuria pardalis,NA,LC,NA
180500,Holothuria discrepans,NA,DD,NA
180440,Holothuria whitmaei,NA,EN,Black Teatfish
180236,Holothuria olivacea,NA,DD,NA
180315,Holothuria glandifera,NA,DD,NA
180512,Holothuria impatiens,NA,DD,Bottleneck Sea Cucumber
180400,Holothuria edulis,NA,LC,Pinkfish
180451,Holothuria hawaiiensis,NA,LC,NA
180494,Holothuria fuscocinerea,NA,LC,NA
180352,Bohadschia vitiensis,NA,DD,Brown Sandfish
180446,Holothuria stocki,NA,DD,NA
180386,Bohadschia similis,NA,DD,Brownspotted Sandfish
180541,Bohadschia argus,NA,LC,Leopardfish
180248,Pearsonothuria graeffei,NA,LC,Blackspotted Sea Cucumber
180421,Holothuria atra,NA,LC,Lollyfish
180265,Actinopyga miliaris,NA,VU,Harry Blackfish
