"sciname","class"
"acropora horrida","anthozoa"
"montipora verrucosa","anthozoa"
"favia speciosa","anthozoa"
"scolymia vitiensis","anthozoa"
"porites murrayensis","anthozoa"
"acropora nobilis","anthozoa"
"goniopora stutchburyi","anthozoa"
"porites solida","anthozoa"
"acropora paniculata","anthozoa"
"leptoseris incrustans","anthozoa"
"acropora longicyathus","anthozoa"
"ctenactis crassa","anthozoa"
"fungia scruposa","anthozoa"
"montipora foveolata","anthozoa"
"coscinaraea exesa","anthozoa"
"herpolitha limax","anthozoa"
"acropora microphthalma","anthozoa"
"montipora millepora","anthozoa"
"hydnophora microconos","anthozoa"
"pocillopora damicornis","anthozoa"
"platygyra daedalea","anthozoa"
"turbinaria mesenterina","anthozoa"
"fungia concinna","anthozoa"
"echinopora gemmacea","anthozoa"
"leptastrea bottae","anthozoa"
"goniastrea aspera","anthozoa"
"platygyra sinensis","anthozoa"
"alveopora spongiosa","anthozoa"
"sandalolitha dentata","anthozoa"
"fungia distorta","anthozoa"
"coscinaraea columna","anthozoa"
"montipora tuberculosa","anthozoa"
"montipora hoffmeisteri","anthozoa"
"acropora robusta","anthozoa"
"montipora hispida","anthozoa"
"goniastrea pectinata","anthozoa"
"favites flexuosa","anthozoa"
"leptastrea purpurea","anthozoa"
"fungia granulosa","anthozoa"
"gardineroseris planulata","anthozoa"
"acropora globiceps","anthozoa"
"psammocora profundacella","anthozoa"
"montipora efflorescens","anthozoa"
"pocillopora elegans","anthozoa"
"acropora secale","anthozoa"
"favites abdita","anthozoa"
"acropora carduus","anthozoa"
"pavona explanulata","anthozoa"
"psammocora contigua","anthozoa"
"fungia scabra","anthozoa"
"porites australiensis","anthozoa"
"alveopora verrilliana","anthozoa"
"cyphastrea serailia","anthozoa"
"acropora loripes","anthozoa"
"psammocora digitata","anthozoa"
"montipora foliosa","anthozoa"
"pavona decussata","anthozoa"
"acropora digitifera","anthozoa"
"psammocora explanulata","anthozoa"
"galaxea fascicularis","anthozoa"
"leptoseris hawaiiensis","anthozoa"
"lobophyllia corymbosa","anthozoa"
"pocillopora verrucosa","anthozoa"
"acropora pulchra","anthozoa"
"goniopora minor","anthozoa"
"acanthastrea echinata","anthozoa"
"plesiastrea versipora","anthozoa"
"pavona bipartita","anthozoa"
"fungia costulata","anthozoa"
"pocillopora capitata","anthozoa"
"montastrea curta","anthozoa"
"acropora monticulosa","anthozoa"
"stylocoeniella guentheri","anthozoa"
"pocillopora ligulata","anthozoa"
"abudefduf sordidus","actinopterygii"
"chromis alpha","actinopterygii"
"abudefduf vaigiensis","actinopterygii"
"abudefduf septemfasciatus","actinopterygii"
"abudefduf sexfasciatus","actinopterygii"
"epinephelus polyphekadion","actinopterygii"
"cephalopholis leopardus","actinopterygii"
"plectropomus laevis","actinopterygii"
"epinephelus tauvina","actinopterygii"
"hyporthodus octofasciatus","actinopterygii"
"cephalopholis igarashiensis","actinopterygii"
"cephalopholis argus","actinopterygii"
"cephalopholis polleni","actinopterygii"
"cephalopholis spiloparaea","actinopterygii"
"epinephelus hexagonatus","actinopterygii"
"epinephelus merra","actinopterygii"
"cephalopholis aurantia","actinopterygii"
"gracila albomarginata","actinopterygii"
"cephalopholis urodeta","actinopterygii"
"epinephelus morrhua","actinopterygii"
"epinephelus melanostigma","actinopterygii"
"epinephelus lanceolatus","actinopterygii"
"saloptia powelli","actinopterygii"
"epinephelus fasciatus","actinopterygii"
"epinephelus socialis","actinopterygii"
"variola louti","actinopterygii"
"cephalopholis sexmaculata","actinopterygii"
"epinephelus tuamotuensis","actinopterygii"
"enoplometopus holthuisi","malacostraca"
"panulirus longipes","malacostraca"
"enoplometopus gracilipes","malacostraca"
"arctides regalis","malacostraca"
"pentacheles snyderi","malacostraca"
"parribacus antarcticus","malacostraca"
"panulirus femoristriga","malacostraca"
"stereomastis auriculata","malacostraca"
"galearctus aurora","malacostraca"
"stereomastis suhmi","malacostraca"
"peponocephala electra","mammalia"
"steno bredanensis","mammalia"
"kogia breviceps","mammalia"
"stenella coeruleoalba","mammalia"
"balaenoptera bonaerensis","mammalia"
"mesoplodon ginkgodens","mammalia"
"ziphius cavirostris","mammalia"
"orcinus orca","mammalia"
"physeter macrocephalus","mammalia"
"tursiops truncatus","mammalia"
"balaenoptera edeni","mammalia"
"kogia sima","mammalia"
"mesoplodon densirostris","mammalia"
"stenella longirostris","mammalia"
"globicephala macrorhynchus","mammalia"
"balaenoptera borealis","mammalia"
"grampus griseus","mammalia"
"balaenoptera musculus","mammalia"
"lagenodelphis hosei","mammalia"
"balaenoptera acutorostrata","mammalia"
"pseudorca crassidens","mammalia"
"feresa attenuata","mammalia"
"stenella attenuata","mammalia"
"sphoeroides pachygaster","actinopterygii"
"canthigaster rivulata","actinopterygii"
"canthigaster janthinoptera","actinopterygii"
"canthigaster amboinensis","actinopterygii"
"canthigaster solandri","actinopterygii"
"lagocephalus lagocephalus","actinopterygii"
"lagocephalus sceleratus","actinopterygii"
"canthigaster valentini","actinopterygii"
"canthigaster bennetti","actinopterygii"
"arothron hispidus","actinopterygii"
"arothron stellatus","actinopterygii"
"arothron meleagris","actinopterygii"
"eretmochelys imbricata","reptilia"
"hydrophis platurus","reptilia"
"holothuria leucospilota","holothuroidea"
"stichopus chloronotus","holothuroidea"
"holothuria fuscogilva","holothuroidea"
"holothuria hilla","holothuroidea"
"stichopus monotuberculatus","holothuroidea"
"holothuria pervicax","holothuroidea"
"holothuria difficilis","holothuroidea"
"stichopus horrens","holothuroidea"
"holothuria flavomaculata","holothuroidea"
"actinopyga mauritiana","holothuroidea"
"mesothuria multipora","holothuroidea"
"thelenota anax","holothuroidea"
"holothuria turriscelsa","holothuroidea"
"holothuria pardalis","holothuroidea"
"holothuria discrepans","holothuroidea"
"holothuria whitmaei","holothuroidea"
"holothuria olivacea","holothuroidea"
"holothuria glandifera","holothuroidea"
"holothuria impatiens","holothuroidea"
"holothuria edulis","holothuroidea"
"holothuria hawaiiensis","holothuroidea"
"holothuria fuscocinerea","holothuroidea"
"bohadschia vitiensis","holothuroidea"
"holothuria stocki","holothuroidea"
"bohadschia similis","holothuroidea"
