"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"70",21859,21859,"Thunnus obesus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
"71",170314,170314,"Makaira nigricans",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
"72",170315,170315,"Tetrapturus angustirostris",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
"73",23148,23148,"Xiphias gladius",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
"74",170341,170341,"Thunnus orientalis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
"75",170336,170336,"Euthynnus affinis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
"76",170338,170338,"Istiophorus platypterus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
"77",170309,170309,"Kajikia audax",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
"78",170310,170310,"Katsuwonus pelamis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
"79",170312,170312,"Istiompax indica",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
"80",22698465,22698465,"Fregetta grallaria",3,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/birdlife_intl/d2018/bli_marine_v2017.dbf","200 m +",TRUE
