name,sciname,iucn_sid,population,category
NA,goniastrea pectinata,133414,NA,LC
NA,favites flexuosa,133244,NA,NT
NA,leptastrea purpurea,133090,NA,LC
NA,fungia granulosa,133183,NA,LC
NA,gardineroseris planulata,132917,NA,LC
NA,acropora globiceps,133387,NA,VU
NA,psammocora profundacella,133570,NA,LC
NA,montipora efflorescens,133175,NA,NT
NA,pocillopora elegans,133099,NA,VU
NA,acropora secale,132888,NA,NT
NA,favites abdita,133290,NA,NT
NA,acropora carduus,132933,NA,NT
NA,pavona explanulata,133382,NA,LC
NA,psammocora contigua,133208,NA,NT
NA,fungia scabra,133179,NA,LC
NA,porites australiensis,133277,NA,LC
NA,alveopora verrilliana,133156,NA,VU
NA,cyphastrea serailia,133167,NA,LC
NA,acropora loripes,132976,NA,NT
NA,psammocora digitata,133043,NA,NT
NA,montipora foliosa,133071,NA,NT
cactus coral,pavona decussata,133041,NA,VU
NA,acropora digitifera,133250,NA,NT
NA,psammocora explanulata,133589,NA,LC
NA,galaxea fascicularis,133662,NA,NT
NA,leptoseris hawaiiensis,132885,NA,LC
brain root coral,lobophyllia corymbosa,133551,NA,LC
NA,acropora pulchra,133033,NA,LC
NA,goniopora minor,133607,NA,NT
NA,acanthastrea echinata,133246,NA,LC
NA,plesiastrea versipora,133284,NA,LC
NA,pavona bipartita,133360,NA,VU
NA,fungia costulata,132864,NA,LC
NA,pocillopora capitata,132958,NA,LC
NA,montastrea curta,132922,NA,LC
NA,acropora monticulosa,133315,NA,NT
NA,stylocoeniella guentheri,133049,NA,LC
NA,pocillopora ligulata,133045,NA,LC
yellow-banded sergeant-major,abudefduf sordidus,188467,NA,LC
yellow-speckled chromis,chromis alpha,154760,NA,LC
five-banded sergeant-major,abudefduf vaigiensis,188609,NA,LC
seven-banded sergeant-major,abudefduf septemfasciatus,188453,NA,LC
scissortail sergeant,abudefduf sexfasciatus,188557,NA,LC
camouflage grouper,epinephelus polyphekadion,61339,NA,VU
leopard hind,cephalopholis leopardus,132737,NA,LC
blacksaddled coral grouper,plectropomus laevis,64412,NA,LC
greasy grouper,epinephelus tauvina,132758,NA,DD
harlequin hind,cephalopholis polleni,132805,NA,LC
strawberry hind,cephalopholis spiloparaea,132825,NA,LC
white speckled rockcod,epinephelus hexagonatus,132778,NA,LC
golden hind,cephalopholis aurantia,132725,NA,LC
masked grouper,gracila albomarginata,132800,NA,LC
